zoom.us,52.202.62.202
smtpn10.zoom.us,3.235.97.110
smtpn0.zoom.us,3.235.97.100
us01sipsf01.zoom.us,192.204.13.5
us01byocsj01.zoom.us,162.12.232.58
gobyocsj01.zoom.us,162.12.233.60
us01byochk01.zoom.us,209.9.211.197
eu01sbcam01.zoom.us,213.19.144.102
us01byocam01.zoom.us,213.19.144.197
eu01sbcfr01.zoom.us,213.244.140.234
us01byocsy01.zoom.us,103.122.166.247
smtpn11.zoom.us,3.235.97.111
us01pbxmssf01-blue1.zoom.us,69.174.108.69
lo0-1.sj1.zoom.us,162.255.39.252
g1-1-5-c1.sj1.zoom.us,162.255.39.33
x1-2-7.3-cgnt-hk1.sj1.zoom.us,162.255.39.88
g1-0-4-v1.sj1.zoom.us,162.255.39.45
x1-2-2-zyo-dv1.sj1.zoom.us,162.255.39.144
x2-0-4-zyo-ny1.sj1.zoom.us,162.255.39.149
x1-2-7.0-cgnt-ny1.sj1.zoom.us,162.255.39.5
x1-2-7-ntt-ny1.sj1.zoom.us,162.255.39.7
a1-sj2.sj1.zoom.us,162.255.39.94
a0-c.sj1.zoom.us,162.255.39.96
x1-2-1-tlstr-tj.sj1.zoom.us,162.255.39.78
x2-0-1-cntlnk-sp.sj1.zoom.us,162.255.39.150
x1-2-7.1-cgnt-hq.sj1.zoom.us,162.255.39.72
x1-2-7.4-cgnt-tr.sj1.zoom.us,162.255.39.114
a2.2020-cgnt-sj1.hk1.zoom.us,162.255.39.89
a2.2077-cgnt-ny1.am1.zoom.us,162.255.39.87
us01pbxmssf01-green1.zoom.us,69.174.108.83
smtpn1.zoom.us,3.235.97.101
zoom_sc_app1_r2_svr1.zoom.us,165.254.88.16
